name,stardot_ts,receiver_ts
1570132805.jpg,2019-10-03 15:00:05,2020-09-11 06:22:54
1570085103.jpg,2019-10-03 01:45:03,2020-09-10 17:07:49
1570109105.jpg,2019-10-03 08:25:05,2020-09-10 23:47:55
1570086422.jpg,2019-10-03 02:07:02,2020-09-10 17:29:47
1570096143.jpg,2019-10-03 04:49:03,2020-09-10 20:11:52
1570089063.jpg,2019-10-03 02:51:03,2020-09-10 18:13:50
1570096625.jpg,2019-10-03 04:57:05,2020-09-10 20:19:54
1570121104.jpg,2019-10-03 11:45:04,2020-09-11 03:07:52
1570139763.jpg,2019-10-03 16:56:03,2020-09-11 08:18:48
1570091823.jpg,2019-10-03 03:37:03,2020-09-10 18:59:50
1570132144.jpg,2019-10-03 14:49:04,2020-09-11 06:11:51
1570110483.jpg,2019-10-03 08:48:03,2020-09-11 00:10:55
1570147322.jpg,2019-10-03 19:02:02,2020-09-11 10:24:47
1570081563.jpg,2019-10-03 00:46:03,2020-09-10 16:08:49
1570148763.jpg,2019-10-03 19:26:03,2020-09-11 10:48:48
1570096023.jpg,2019-10-03 04:47:03,2020-09-10 20:09:53
1570079582.jpg,2019-10-03 00:13:02,2020-09-10 15:35:49
1570082042.jpg,2019-10-03 00:54:02,2020-09-10 16:16:49
1570140303.jpg,2019-10-03 17:05:03,2020-09-11 08:27:47
1570134482.jpg,2019-10-03 15:28:02,2020-09-11 06:50:46
1570121702.jpg,2019-10-03 11:55:02,2020-09-11 03:17:52
1570098783.jpg,2019-10-03 05:33:03,2020-09-10 20:55:51
1570132024.jpg,2019-10-03 14:47:04,2020-09-11 06:09:51
1570091943.jpg,2019-10-03 03:39:03,2020-09-10 19:01:50
1570139165.jpg,2019-10-03 16:46:05,2020-09-11 08:08:49
1570148944.jpg,2019-10-03 19:29:04,2020-09-11 10:51:48
1570142702.jpg,2019-10-03 17:45:02,2020-09-11 09:07:47
1570084143.jpg,2019-10-03 01:29:03,2020-09-10 16:51:49
1570120144.jpg,2019-10-03 11:29:04,2020-09-11 02:51:53
1570086783.jpg,2019-10-03 02:13:03,2020-09-10 17:35:49
1570117924.jpg,2019-10-03 10:52:04,2020-09-11 02:14:52
1570108804.jpg,2019-10-03 08:20:04,2020-09-10 23:42:55
1570138022.jpg,2019-10-03 16:27:02,2020-09-11 07:49:46
1570082582.jpg,2019-10-03 01:03:02,2020-09-10 16:25:48
1570116485.jpg,2019-10-03 10:28:05,2020-09-11 01:50:55
1570079042.jpg,2019-10-03 00:04:02,2020-09-10 15:26:49
1570103705.jpg,2019-10-03 06:55:05,2020-09-10 22:17:52
1570133822.jpg,2019-10-03 15:17:02,2020-09-11 06:39:45
1570109943.jpg,2019-10-03 08:39:03,2020-09-11 00:01:53
1570126744.jpg,2019-10-03 13:19:04,2020-09-11 04:41:52
1570090384.jpg,2019-10-03 03:13:04,2020-09-10 18:35:50
1570139102.jpg,2019-10-03 16:45:02,2020-09-11 08:07:45
1570080183.jpg,2019-10-03 00:23:03,2020-09-10 15:45:49
1570091703.jpg,2019-10-03 03:35:03,2020-09-10 18:57:49
1570101304.jpg,2019-10-03 06:15:04,2020-09-10 21:37:55
1570143123.jpg,2019-10-03 17:52:03,2020-09-11 09:14:48
1570081504.jpg,2019-10-03 00:45:04,2020-09-10 16:07:50
1570109764.jpg,2019-10-03 08:36:04,2020-09-10 23:58:52
1570116122.jpg,2019-10-03 10:22:02,2020-09-11 01:44:51
1570135923.jpg,2019-10-03 15:52:03,2020-09-11 07:14:47
1570112344.jpg,2019-10-03 09:19:04,2020-09-11 00:41:52
1570079283.jpg,2019-10-03 00:08:03,2020-09-10 15:30:49
1570102143.jpg,2019-10-03 06:29:03,2020-09-10 21:51:53
1570089602.jpg,2019-10-03 03:00:02,2020-09-10 18:22:48
1570109823.jpg,2019-10-03 08:37:03,2020-09-10 23:59:52
1570143902.jpg,2019-10-03 18:05:02,2020-09-11 09:27:47
1570104485.jpg,2019-10-03 07:08:05,2020-09-10 22:30:53
1570123984.jpg,2019-10-03 12:33:04,2020-09-11 03:55:54
1570126624.jpg,2019-10-03 13:17:04,2020-09-11 04:39:54
1570085164.jpg,2019-10-03 01:46:04,2020-09-10 17:08:51
1570128184.jpg,2019-10-03 13:43:04,2020-09-11 05:05:53
1570138383.jpg,2019-10-03 16:33:03,2020-09-11 07:55:47
1570148102.jpg,2019-10-03 19:15:02,2020-09-11 10:37:46
1570112224.jpg,2019-10-03 09:17:04,2020-09-11 00:39:54
1570087983.jpg,2019-10-03 02:33:03,2020-09-10 17:55:51
1570142822.jpg,2019-10-03 17:47:02,2020-09-11 09:09:46
1570127704.jpg,2019-10-03 13:35:04,2020-09-11 04:57:53
1570149963.jpg,2019-10-03 19:46:03,2020-09-11 11:08:48
1570123204.jpg,2019-10-03 12:20:04,2020-09-11 03:42:53
1570118523.jpg,2019-10-03 11:02:03,2020-09-11 02:24:51
1570083065.jpg,2019-10-03 01:11:05,2020-09-10 16:33:51
1570113304.jpg,2019-10-03 09:35:04,2020-09-11 00:57:53
1570133942.jpg,2019-10-03 15:19:02,2020-09-11 06:41:46
1570086121.jpg,2019-10-03 02:02:01,2020-09-10 17:24:46
1570100344.jpg,2019-10-03 05:59:04,2020-09-10 21:21:53
1570126383.jpg,2019-10-03 13:13:03,2020-09-11 04:35:52
1570090742.jpg,2019-10-03 03:19:02,2020-09-10 18:41:48
1570094524.jpg,2019-10-03 04:22:04,2020-09-10 19:44:52
1570114324.jpg,2019-10-03 09:52:04,2020-09-11 01:14:52
1570087202.jpg,2019-10-03 02:20:02,2020-09-10 17:42:48
1570097763.jpg,2019-10-03 05:16:03,2020-09-10 20:38:53
1570130523.jpg,2019-10-03 14:22:03,2020-09-11 05:44:48
1570138143.jpg,2019-10-03 16:29:03,2020-09-11 07:51:48
1570133764.jpg,2019-10-03 15:16:04,2020-09-11 06:38:48
1570092425.jpg,2019-10-03 03:47:05,2020-09-10 19:09:54
1570119364.jpg,2019-10-03 11:16:04,2020-09-11 02:38:52
1570121823.jpg,2019-10-03 11:57:03,2020-09-11 03:19:52
1570141866.jpg,2019-10-03 17:31:06,2020-09-11 08:53:50
1570078981.jpg,2019-10-03 00:03:01,2020-09-10 15:25:48
1570111923.jpg,2019-10-03 09:12:03,2020-09-11 00:34:53
1570114683.jpg,2019-10-03 09:58:03,2020-09-11 01:20:51
1570144922.jpg,2019-10-03 18:22:02,2020-09-11 09:44:46
1570131365.jpg,2019-10-03 14:36:05,2020-09-11 05:58:50
1570141682.jpg,2019-10-03 17:28:02,2020-09-11 08:50:47
1570125304.jpg,2019-10-03 12:55:04,2020-09-11 04:17:53
1570121943.jpg,2019-10-03 11:59:03,2020-09-11 03:21:52
1570085763.jpg,2019-10-03 01:56:03,2020-09-10 17:18:49
1570102803.jpg,2019-10-03 06:40:03,2020-09-10 22:02:51
1570142764.jpg,2019-10-03 17:46:04,2020-09-11 09:08:47
1570090144.jpg,2019-10-03 03:09:04,2020-09-10 18:31:50
1570090622.jpg,2019-10-03 03:17:02,2020-09-10 18:39:48
1570097165.jpg,2019-10-03 05:06:05,2020-09-10 20:28:54
1570151042.jpg,2019-10-03 20:04:02,2020-09-11 11:26:47
1570098242.jpg,2019-10-03 05:24:02,2020-09-10 20:46:52
1570097824.jpg,2019-10-03 05:17:04,2020-09-10 20:39:51
1570092784.jpg,2019-10-03 03:53:04,2020-09-10 19:15:55
1570084864.jpg,2019-10-03 01:41:04,2020-09-10 17:03:51
1570125066.jpg,2019-10-03 12:51:06,2020-09-11 04:13:55
1570142943.jpg,2019-10-03 17:49:03,2020-09-11 09:11:47
1570133162.jpg,2019-10-03 15:06:02,2020-09-11 06:28:47
1570127103.jpg,2019-10-03 13:25:03,2020-09-11 04:47:52
1570108684.jpg,2019-10-03 08:18:04,2020-09-10 23:40:53
1570135263.jpg,2019-10-03 15:41:03,2020-09-11 07:03:47
1570086903.jpg,2019-10-03 02:15:03,2020-09-10 17:37:49
1570081922.jpg,2019-10-03 00:52:02,2020-09-10 16:14:48
1570084682.jpg,2019-10-03 01:38:02,2020-09-10 17:00:48
1570149182.jpg,2019-10-03 19:33:02,2020-09-11 10:55:46
1570115164.jpg,2019-10-03 10:06:04,2020-09-11 01:28:52
1570140603.jpg,2019-10-03 17:10:03,2020-09-11 08:32:47
1570134182.jpg,2019-10-03 15:23:02,2020-09-11 06:45:46
1570139883.jpg,2019-10-03 16:58:03,2020-09-11 08:20:47
1570098903.jpg,2019-10-03 05:35:03,2020-09-10 20:57:51
1570088523.jpg,2019-10-03 02:42:03,2020-09-10 18:04:49
1570107004.jpg,2019-10-03 07:50:04,2020-09-10 23:12:53
